ISO3,Country,ISO,Adapation Funding,Mitigation Funding,A %,M %,Dual Purpose Funding,Total Climate Funding,Vulnerability,GNR Region,ODA,Climate Funding as % of ODA,,,FIG,PC,Population
MWI2021,Malawi,MWI,7.424642,6.532837,0.46427618,0.408510014,2.034386,15.991865,0.6301,Africa,1164.401208,0.013733982,,,0.052343608,0,19889742
BFA2021,Burkina Faso,BFA,51.075668,17.206049,0.720996772,0.242884847,2.558639,70.840356,0.6282,Africa,1583.747131,0.044729588,,,0.04507017,PC,22100683
BGD2021,Bangladesh,BGD,36.54364,209.668339,0.147151568,0.844278915,2.128155,248.340134,0.6312,Asia,5987.714604,0.041474945,,,,PC,169356251
MDV2021,Maldives,MDV,0.000479,0.095397,0.004996037,0.995003963,0,0.095876,0.5442,Asia,181.117904,0.000529357,,,,0,521457
RWA2021,Rwanda,RWA,10.603918,17.549843,0.365882081,0.605547221,0.82803,28.981791,0.58,Africa,1384.879721,0.020927298,,,,PC,13461888
GMB2021,Gambia,GMB,1.10922,1.998297,0.282336878,0.508639348,0.821194,3.928711,0.6083,Africa,244.463644,0.016070737,,,0.01576649,0,2639916
COG2021,Congo,COG,0.074355,0.365204,0.154937237,0.760993865,0.040345,0.479904,0.6516,Africa,234.058889,0.002050356,,,,PC,5835806
COM2021,Comoros,COM,5.753044,0,0.9655459,0,0.205289,5.958333,0.625,Africa,140.012122,0.042555837,,,,0,821625
PAK2021,Pakistan,PAK,2.456085,35.508871,0.064615701,0.934182083,0.045697,38.010653,0.6095,Asia,3681.346754,0.010325203,,,0.108775689,PC,231402117
SEN2021,Senegal,SEN,47.273413,80.977236,0.359080199,0.615088273,3.400757,131.651406,0.591,Africa,1360.437312,0.096771387,,,0.017071857,0,16876720
BTN2021,Bhutan,BTN,0.634581,0.862491,0.334461591,0.454583594,0.400249,1.897321,0.5215,Asia,142.318376,0.013331525,,,,0,777486
STP2021,Sao Tome and Principe,STP,0.056236,0.97854,0.054346061,0.945653939,0,1.034776,0.5833,Africa,68.611828,0.015081598,,,,0,223107
HTI2021,Haiti,HTI,33.483986,19.551296,0.607269129,0.354584382,2.103345,55.138627,0.6497,Latin America and the Caribbean,909.590339,0.060619187,,,0.192693239,PC,11447569
KEN2021,Kenya,KEN,65.50064,74.059102,0.460048491,0.520159469,2.817945,142.377687,0.613,Africa,3537.563339,0.040247389,,,0.060140637,PC,53005614
AGO2021,Angola,AGO,4.196531,2.791579,0.562377473,0.374099737,0.474015,7.462125,0.6214,Africa,277.517793,0.026888816,,,0.242492768,PC,34503774
WSM2021,Samoa,WSM,2.266777,0.008852,0.839868364,0.003279773,0.423338,2.698967,0.5293,Oceania,85.505736,0.031564748,,,,0,218764
ZWE2021,Zimbabwe,ZWE,14.015953,1.535622,0.820249906,0.08986858,1.535843,17.087418,0.6692,Africa,943.564862,0.018109426,,,0.142481411,RC,15993524
TZA2021,Tanzania,TZA,24.884126,30.496492,0.434587924,0.532604888,1.878511,57.259129,0.6092,Africa,2649.6408,0.021610148,,,,PC,63588334
MMR2021,Myanmar,MMR,2.949928,13.367673,0.175362011,0.794657368,0.504332,16.821933,0.6239,Asia,1524.236739,0.011036299,,,,PC,53798084
